,Term,ID,Subject,Catalog,Session,Location,Final_Letter,Final_Numeric,SPE_Letter,SPE_Numeric,NBME_Letter,NBME_Numeric,OSCE_Letter,OSCE_Numeric,Final_Letter2,SPE_Letter2,NBME_Letter2,OSCE_Letter2
2013,5000,1270,PS,300,S1B,UMMHC-8 East,H,NA,NA,NA,Pass,78,Honors,87,Honors,NA,Pass,Honors
2014,5000,1270,PE,300,S1C,UMMHC-University Campus,H,NA,High Honors,3.56,NA,73,Pass,83,Honors,High Honors,NA,Pass
2015,5000,1270,OB,300,S2A,UMMHC-Memorial Campus,P,NA,Honors,34,Pass,7,Honors,20,Pass,Honors,Pass,Honors
2016,5000,1270,SU,300,2C5,Milford Regional Medical Center,P,NA,Honors,3.4,Pass,66,Pass,71,Pass,Honors,Pass,Pass
2017,5001,1270,ME,300B,3B5,Saint Vincent Hospital Massachusetts,H,NA,High Honors,3.59,Pass,2.1,High Honors,4,Honors,High Honors,Pass,High Honors
2018,5001,1270,NU,302,3C3,Saint Vincent Hospital Massachusetts,S,NA,NA,NA,HONORS,78,Pass,10,Satisfactory,NA,Honors,Pass
2019,5200,1014,OB,300,S1C,Milford Regional Medical Center,H,NA,Honors,39,Honors,11,Honors,20,Honors,Honors,Honors,Honors
2020,5200,1014,PE,300,S2A,UMMHC-University Campus,H,NA,Honors,3.21,Pass,77,Pass,84,Honors,Honors,Pass,Pass
2021,5200,1014,PS,300,S2C,Dr. J. Corrigan Mental Health Center,H,NA,High Honors,92,Pass,79,Honors,82,Honors,High Honors,Pass,Honors
2022,5201,1014,FC,300,S3A,Worcester Area South,HH,NA,High Honors,44.16,Pass,16.45,High Honors,18.44,High Honors,High Honors,Pass,High Honors
2023,5200,1014,SU,300,1B5,Milford Regional Medical Center,H,NA,High Honors,3.7,Pass,74,Pass,66,Honors,High Honors,Pass,Pass
2024,5401,1855,OB,300,S3A,Cape Cod Hospital,H,88,High Honors,45,Honors,11,Pass,19,Honors,High Honors,Honors,Pass
2025,5401,1855,SU,300,3B5,UMMHC-Memorial Colorectal,H,3.2,High Honors,3.59,Pass,71,Honors,71,Honors,High Honors,Pass,Honors
2026,4900,1247,SU,300,S1B,Cape Cod Hospital,H,NA,Honors,3.32,High Honors,81,Honors,72,Honors,Honors,High Honors,Honors
2027,4900,1247,OB,300,S1C,Milford Regional Medical Center,H,NA,High Honors,45,Honors,11,Honors,21,Honors,High Honors,Honors,Honors
2028,4900,1247,PE,300,S2A,UMMHC-University Campus,HH,NA,High Honors,3.39,NA,83,High Honors,95,High Honors,High Honors,NA,High Honors
2029,4900,1247,PS,300,S2B,Cape Cod Hospital,H,NA,NA,NA,Honors,88,Honors,85,Honors,NA,Honors,Honors
2030,4900,1247,FC,300,S2C,Worcester Area North,HH,NA,High Honors,38.88,NA,13.5,High Honors,15,High Honors,High Honors,NA,High Honors
2031,4901,1247,NU,302,3C3,UMMHC-University Campus,HH,NA,High Honors,3.9,High Honors,90,Honors,16,High Honors,High Honors,High Honors,Honors
2032,5300,1732,OB,300,S1B,Baystate Medical Center,H,89,High Honors,45,Honors,11,Honors,21,Honors,High Honors,Honors,Honors
2033,5301,1732,PE,300,S3A,UMMHC-University Campus,HH,3.47,High Honors,3.53,Pass,78,High Honors,93,High Honors,High Honors,Pass,High Honors
2034,5301,1732,PS,300,S3B,UMMHC-8 East,H,86,Honors,84,Honors,86,Honors,83,Honors,Honors,Honors,Honors
2035,5301,1732,FC,300,S3C,Pioneer Valley Area,H,89.86,Honors,39.7,Honors,18,Honors,17.76,Honors,Honors,Honors,Honors
2036,5300,1732,SU,300,1A5,Cape Cod Hospital,H,3.2,High Honors,3.61,Pass,64,Honors,72,Honors,High Honors,Pass,Honors
2037,5300,1732,NU,302,2A4,UMMHC-University Campus,H,91.9,High Honors,3.67,Honors,81,High Honors,20,Honors,High Honors,Honors,High Honors
2038,5300,1732,ME,300B,2C5,Milford Regional Medical Center,H,3.46,Honors,3.36,Honors,3.3,High Honors,3.5,Honors,Honors,Honors,High Honors
2039,5400,1903,OB,300,S2A,UMMHC-Memorial Campus,HH,92,High Honors,43,Honors,11,High Honors,23,High Honors,High Honors,Honors,High Honors
2040,5401,1903,PE,300,S3A,UMMHC-University Campus,HH,3.72,High Honors,3.82,Honors,79,High Honors,92,High Honors,High Honors,Honors,High Honors
2041,5401,1903,PS,300,S3B,Taunton State Hospital,HH,91,High Honors,91,Honors,89,High Honors,93,High Honors,High Honors,Honors,High Honors
2042,5401,1903,FC,300,S3C,Worcester Area South,HH,96.36,High Honors,43.75,High Honors,19.2,High Honors,18.71,High Honors,High Honors,High Honors,High Honors
2043,5400,1903,NU,302,1B3,UMMHC-University Campus,H,89.2,High Honors,3.72,High Honors,89,Honors,80,Honors,High Honors,High Honors,Honors
2044,5400,1903,ME,300B,1C5,Saint Vincent Hospital Massachusetts,HH,3.65,High Honors,3.85,High Honors,3.5,Honors,3,High Honors,High Honors,High Honors,Honors
2045,5400,1903,SU,300,2B5,Cape Cod Hospital,HH,4,High Honors,3.96,High Honors,85,High Honors,77,High Honors,High Honors,High Honors,High Honors
2046,5000,1324,PE,300,S2A,UMMHC-University Campus,H,NA,Honors,3.18,NA,81,Pass,82,Honors,Honors,NA,Pass
2047,5000,1324,FC,300,S2B,Worcester Area South,H,NA,High Honors,39.28,NA,13.64,Pass,11.56,Honors,High Honors,NA,Pass
2048,5000,1324,PS,300,S2C,UMMHC-Marlborough Hospital,H,NA,NA,NA,High Honors,92,High Honors,94,Honors,NA,High Honors,High Honors
2049,5001,1324,OB,300,S3B,Baystate Medical Center,HH,NA,High Honors,41,Honors,11,Honors,22,High Honors,High Honors,Honors,Honors
2050,5000,1324,ME,300B,1B5,UMMHC-Memorial Campus,H,NA,High Honors,3.5,High Honors,3.5,High Honors,3.5,Honors,High Honors,High Honors,High Honors
2051,5000,1324,NU,302,1C3,Milford Regional Medical Center,HH,NA,High Honors,3.73,Honors,84,Honors,16,High Honors,High Honors,Honors,Honors
2052,5100,1034,FC,300,S1A,Worcester Area South,H,NA,Honors,37.28,NA,13.2,Honors,17.36,Honors,Honors,NA,Honors
2053,5100,1034,PE,300,S1B,UMMHC-University Campus,HH,NA,High Honors,3.48,NA,91,High Honors,95,High Honors,High Honors,NA,High Honors
2054,5100,1034,PS,300,S1C,UMMHC-C/L,H,NA,High Honors,91,Honors,87,Honors,81,Honors,High Honors,Honors,Honors
2055,5100,1034,SU,300,S2A,UMMHC-Memorial Surgical Oncology,HH,NA,High Honors,3.92,High Honors,84,High Honors,75,High Honors,High Honors,High Honors,High Honors
2056,5100,1034,OB,300,S2B,Berkshire Medical Center,HH,NA,High Honors,42,Honors,11,Honors,22,High Honors,High Honors,Honors,Honors
2057,5100,1534,NU,302,S1B,"Baystate Medical Center - Springfield, MA",H,NA,Honors,3.19,Honors,80,Honors,16,Honors,Honors,Honors,Honors
2058,5100,1534,ME,300B,S1C,"Baystate Medical Center - Springfield, MA",H,NA,Honors,3.37,Pass,2.9,Honors,3,Honors,Honors,Pass,Honors
2059,5100,1534,FC,300,S2A,"Baystate Medical Center - Springfield, MA",H,NA,Honors,35.68,NA,13.6,High Honors,18.29,Honors,Honors,NA,High Honors
2060,5100,1534,PE,300,S2B,"Baystate Medical Center - Springfield, MA",H,NA,Honors,3.04,NA,70,High Honors,91,Honors,Honors,NA,High Honors
2061,5100,1534,PS,300,S2C,"Baystate Medical Center - Springfield, MA",H,NA,High Honors,88,Honors,90,Pass,77,Honors,High Honors,Honors,Pass
2062,5101,1534,SU,300,S3A,"Baystate Medical Center - Springfield, MA",H,NA,Honors,3.25,Pass,66,High Honors,77,Honors,Honors,Pass,High Honors
2063,5101,1534,OB,300,S3C,"Baystate Medical Center - Springfield, MA",H,NA,High Honors,41,Pass,7,Honors,22,Honors,High Honors,Pass,Honors
2064,5000,1319,OB,300,S1C,UMMHC-Memorial Campus,H,NA,Honors,37,Honors,11,Honors,21,Honors,Honors,Honors,Honors
2065,5001,1319,PE,300,S3A,UMMHC-University Campus,HH,NA,High Honors,3.46,NA,84,Honors,89,High Honors,High Honors,NA,Honors
2066,5001,1319,PS,300,S3B,UMMHC-8 East,HH,NA,NA,NA,Honors,84,High Honors,90,High Honors,NA,Honors,High Honors
2067,5001,1319,FC,300,S3C,Worcester Area South,S,NA,NA,NA,NA,NA,Satisfactory,12.2,Satisfactory,NA,NA,Satisfactory
2068,5000,1319,SU,300,1B5,Cape Cod Hospital,HH,NA,High Honors,3.92,High Honors,84,Pass,77,High Honors,High Honors,High Honors,Pass
2069,5000,1319,ME,300B,2A5,Saint Vincent Hospital Massachusetts,HH,NA,High Honors,3.6,Honors,3.3,High Honors,4,High Honors,High Honors,Honors,High Honors
2070,5000,1319,NU,302,2B3,UMMHC-University Campus,H,NA,High Honors,3.58,Honors,80,Pass,13,Honors,High Honors,Honors,Pass
2071,5300,1706,OB,300,S1B,Milford Regional Medical Center,HH,88,High Honors,41,Honors,11,Honors,21,High Honors,High Honors,Honors,Honors
2072,5300,1706,PS,300,S2A,UMMHC-8 East,H,93,High Honors,99,Honors,87,Honors,87,Honors,High Honors,Honors,Honors
2073,5200,1706,FC,300,S2B,Worcester Area South,HH,NA,High Honors,42.93,Honors,18.13,High Honors,18.75,High Honors,High Honors,Honors,High Honors
2074,5200,1706,PE,300,S2C,UMMHC-University Campus,HH,NA,Honors,3.12,High Honors,86,High Honors,91,High Honors,Honors,High Honors,High Honors
2075,5200,1706,ME,300B,1A5,UMMHC-Memorial Campus,HH,NA,High Honors,3.67,High Honors,3.9,High Honors,3.5,High Honors,High Honors,High Honors,High Honors
2076,5300,1706,SU,300,1A5,UMMHC-Memorial Surgical Oncology,H,3.2,Honors,3.33,Honors,79,Honors,74,Honors,Honors,Honors,Honors
2077,5200,1706,NU,302,1C3,UMMHC-University Campus,H,NA,High Honors,3.65,Pass,74,Honors,17,Honors,High Honors,Pass,Honors
2078,5000,1256,OB,300,S2B,UMMHC-Memorial Campus,H,NA,Honors,37,Honors,11,Pass,20,Honors,Honors,Honors,Pass
2079,5001,1256,PS,300,S3A,UMMHC-C/L,H,NA,NA,NA,Honors,82,Honors,82,Honors,NA,Honors,Honors
2080,5001,1256,FC,300,S3B,Worcester Area South,H,NA,High Honors,37.68,NA,13.5,High Honors,13.46,Honors,High Honors,NA,High Honors
2081,5001,1256,PE,300,S3C,UMMHC-University Campus,S,NA,NA,NA,Satisfactory,NA,Satisfactory,95,Satisfactory,NA,Satisfactory,Satisfactory
2082,5000,1256,NU,302,1A4,Milford Regional Medical Center,H,NA,High Honors,3.5,Honors,79,Pass,10,Honors,High Honors,Honors,Pass
2083,5000,1256,ME,300B,1C5,UMMHC-Memorial Campus,H,NA,Honors,3.3,Pass,2.7,Honors,3,Honors,Honors,Pass,Honors
2084,5000,1256,SU,300,2A5,UMMHC-Memorial MIS,HH,NA,High Honors,3.55,Honors,76,Pass,71,High Honors,High Honors,Honors,Pass
2085,5200,1677,PE,300,S1A,UMMHC-University Campus,HH,NA,Honors,3.33,Pass,83,High Honors,92,High Honors,Honors,Pass,High Honors
2086,5200,1677,FC,300,S1B,Worcester Area South,HH,NA,High Honors,42.93,Honors,17.59,High Honors,18.13,High Honors,High Honors,Honors,High Honors
2087,5200,1677,PS,300,S1C,UMMHC-8 East,H,NA,Honors,76,Honors,84,Pass,74,Honors,Honors,Honors,Pass
2088,5201,1677,OB,300,S3A,Cape Cod Hospital,HH,NA,High Honors,41,Honors,11,Honors,22,High Honors,High Honors,Honors,Honors
2089,5200,1677,NU,302,2A4,UMMHC-University Campus,H,NA,Honors,3.2,Honors,83,Honors,17,Honors,Honors,Honors,Honors
2090,5200,1677,ME,300B,2C5,UMMHC-Memorial Campus,HH,NA,High Honors,3.51,Honors,3.1,High Honors,3.5,High Honors,High Honors,Honors,High Honors
2091,5201,1677,SU,300,3B5,Milford Regional Medical Center,HH,NA,High Honors,3.79,Pass,70,High Honors,78,High Honors,High Honors,Pass,High Honors
2092,5000,1306,OB,300,S2B,Milford Regional Medical Center,H,NA,High Honors,42,Pass,7,Honors,21,Honors,High Honors,Pass,Honors
2093,5001,1306,PE,300,S3A,Baystate Medical Center,HH,NA,Honors,3.33,NA,85,Pass,84,High Honors,Honors,NA,Pass
2094,5001,1306,PS,300,S3B,Worcester Recovery Center and Hospital - Adult Unit,H,NA,NA,NA,Honors,82,Honors,89,Honors,NA,Honors,Honors
2095,5001,1306,FC,300,S3C,Worcester Area South,S,NA,NA,NA,NA,NA,Satisfactory,13.6,Satisfactory,NA,NA,Satisfactory
2096,5000,1306,ME,300B,1A5,Berkshire Medical Center,H,NA,Honors,3.46,Honors,3.1,Pass,2,Honors,Honors,Honors,Pass
2097,5000,1306,NU,302,1B4,Holyoke Health Center,P,NA,Honors,2.8,Pass,73,Pass,13,Pass,Honors,Pass,Pass
2098,5000,1306,SU,300,2A5,Cape Cod Hospital,H,NA,High Honors,3.66,Pass,73,Pass,74,Honors,High Honors,Pass,Pass
2099,5300,1742,FC,300,S1A,Worcester Area South,H,90.59,High Honors,42.52,Honors,17.78,Honors,16.79,Honors,High Honors,Honors,Honors
2100,5300,1742,PS,300,S1B,Berkshire Medical Center,HH,92,High Honors,94,Honors,90,High Honors,89,High Honors,High Honors,Honors,High Honors
2101,5300,1742,PE,300,S1C,UMMHC-University Campus,H,3.2,Honors,3.06,Pass,84,Honors,86,Honors,Honors,Pass,Honors
2102,5301,1742,OB,300,S3C,UMMHC-Memorial Campus,HH,90,High Honors,43,Honors,11,Honors,21,High Honors,High Honors,Honors,Honors
2103,5300,1742,ME,300B,2B5,Saint Vincent Hospital Massachusetts,HH,3.52,High Honors,3.61,High Honors,3.5,Honors,3,High Honors,High Honors,High Honors,Honors
2104,5300,1742,NU,302,2C3,UMMHC-University Campus,H,86.8,High Honors,3.5,High Honors,89,Pass,14,Honors,High Honors,High Honors,Pass
2105,5301,1742,SU,300,3A5,Saint Vincent Hospital Massachusetts,HH,4,High Honors,3.86,High Honors,84,High Honors,80,High Honors,High Honors,High Honors,High Honors
2106,5000,1356,OB,300,S1C,Saint Vincent Hospital Massachusetts,H,NA,Honors,39,Honors,11,Honors,21,Honors,Honors,Honors,Honors
2107,5001,1356,FC,300,S3A,Worcester Area North,HH,NA,High Honors,39.28,NA,12.5,Honors,12.81,High Honors,High Honors,NA,Honors
2108,5001,1356,PE,300,S3B,UMMHC-University Campus,HH,NA,High Honors,3.67,NA,81,Honors,87,High Honors,High Honors,NA,Honors
2109,5001,1356,PS,300,S3C,TaraVista Behavioral Health Center,S,NA,NA,NA,Honors,82,High Honors,91,Satisfactory,NA,Honors,High Honors
2110,5000,1356,SU,300,1B5,Cape Cod Hospital,HH,NA,High Honors,3.73,Honors,77,Pass,80,High Honors,High Honors,Honors,Pass
2111,5000,1356,NU,302,2A4,UMMHC-University Campus,H,NA,High Honors,3.5,High Honors,85,Pass,13,Honors,High Honors,High Honors,Pass
2112,5000,1356,ME,300B,2C5,UMMHC-Memorial Campus,H,NA,Honors,3.13,Honors,3,High Honors,3.5,Honors,Honors,Honors,High Honors
2113,5000,1263,OB,300,S1B,UMMHC-Memorial Campus,H,NA,High Honors,41,Pass,7,Honors,22,Honors,High Honors,Pass,Honors
2114,5001,1263,PS,300,S3A,UMMHC-8 East,H,NA,NA,NA,Honors,86,Honors,82,Honors,NA,Honors,Honors
2115,5001,1263,PE,300,S3B,UMMHC-University Campus,H,NA,Pass,2.82,NA,75,Honors,86,Honors,Pass,NA,Honors
2116,5001,1263,FC,300,S3C,Worcester Area South,S,NA,NA,NA,NA,NA,Satisfactory,13.8,Satisfactory,NA,NA,Satisfactory
2117,5000,1263,SU,300,1A5,UMMHC-University Haidak,H,NA,High Honors,3.5,Pass,66,Pass,72,Honors,High Honors,Pass,Pass
2118,5000,1263,NU,302,2A4,Berkshire Medical Center,H,NA,Honors,3.3,Honors,75,Pass,13,Honors,Honors,Honors,Pass
2119,5000,1263,ME,300B,2C5,UMMHC-Memorial Campus,H,NA,High Honors,3.56,Honors,3.3,Honors,3,Honors,High Honors,Honors,Honors
2120,5400,1872,OB,300,S1C,Milford Regional Medical Center,H,77,Honors,33,Pass,7,High Honors,23,Honors,Honors,Pass,High Honors
2121,5400,1872,PS,300,S2A,Berkshire Medical Center,HH,90,High Honors,93,Honors,82,High Honors,90,High Honors,High Honors,Honors,High Honors
2122,5400,1872,FC,300,S2B,Worcester Area North,H,91.64,High Honors,43.75,Pass,16.6,Honors,16.79,Honors,High Honors,Pass,Honors
2123,5400,1872,PE,300,S2C,UMMHC-University Campus,HH,3.55,High Honors,3.73,Honors,80,High Honors,91,High Honors,High Honors,Honors,High Honors
2124,5400,1872,SU,300,1A5,Berkshire Medical Center,H,3,Honors,3.33,Pass,75,High Honors,75,Honors,Honors,Pass,High Honors
2125,5401,1872,ME,300B,3A5,Milford Regional Medical Center,H,3.3,High Honors,3.68,Pass,2,Honors,3,Honors,High Honors,Pass,Honors
2126,5401,1872,NU,302,3B3,UMMHC-University Campus,H,82.4,Honors,3.3,Pass,76,Honors,83,Honors,Honors,Pass,Honors
2127,5300,1818,OB,300,S2A,UMMHC-Memorial Campus,H,80,Honors,39,HONORS,11,Honors,21,Honors,Honors,Honors,Honors
2128,5301,1818,PE,300,S3A,UMMHC-University Campus,HH,3.87,High Honors,3.93,Honors,85,Honors,89,High Honors,High Honors,Honors,Honors
2129,5301,1818,FC,300,S3B,Worcester Area North,H,91.94,High Honors,43.75,Pass,15.8,High Honors,18.39,Honors,High Honors,Pass,High Honors
2130,5301,1818,PS,300,S3C,Dr. J. Corrigan Mental Health Center,H,90,High Honors,100,HONORS,82,Pass,77,Honors,High Honors,Honors,Pass
2131,5400,1818,ME,300B,1A5,UMMHC-Memorial Campus,H,3.27,Honors,3.39,High Honors,3.5,Honors,3,Honors,Honors,High Honors,Honors
2132,5400,1818,NU,302,1C3,Saint Vincent Hospital Massachusetts,H,79.65,Honors,3.45,Pass,75,Honors,75,Honors,Honors,Pass,Honors
2133,5300,1818,SU,300,2B5,Cape Cod Hospital,H,3,High Honors,3.74,Pass,65,Pass,68,Honors,High Honors,Pass,Pass
2134,5000,1281,OB,300,S1C,UMMHC-Memorial Campus,H,NA,Honors,40,Honors,11,Honors,22,Honors,Honors,Honors,Honors
2135,5000,1281,PE,300,S2A,UMMHC-University Campus,H,NA,Honors,3.07,NA,79,Pass,85,Honors,Honors,NA,Pass
2136,5000,1281,FC,300,S2B,Worcester Area South,H,NA,Honors,35.28,NA,13.64,Honors,13.23,Honors,Honors,NA,Honors
2137,5000,1281,PS,300,S2C,Berkshire Medical Center,H,NA,NA,NA,Honors,89,Honors,85,Honors,NA,Honors,Honors
2138,5000,1281,SU,300,1A5,Berkshire Medical Center,H,NA,Honors,3.48,PASS,64,Pass,72,Honors,Honors,Pass,Pass
2139,5001,1281,NU,302,3A3,Saint Vincent Hospital Massachusetts,H,NA,Honors,3,Honors,80,High Honors,20,Honors,Honors,Honors,High Honors
2140,5001,1281,ME,300B,3C5,UMMHC-Memorial Campus,S,NA,High Honors,3.65,Pass,2.8,High Honors,4,Satisfactory,High Honors,Pass,High Honors
2141,5400,1885,OB,300,S1A,UMMHC-Memorial Campus,HH,90,High Honors,41,Honors,11,High Honors,23,High Honors,High Honors,Honors,High Honors
2142,5400,1885,PE,300,S2A,UMMHC-University Campus,H,3.3,High Honors,3.56,Honors,81,Pass,84,Honors,High Honors,Honors,Pass
2143,5400,1885,PS,300,S2B,UMMHC-C/L,HH,91,High Honors,92,Honors,85,High Honors,90,High Honors,High Honors,Honors,High Honors
2144,5400,1885,FC,300,S2C,Worcester Area South,HH,94.86,High Honors,43.75,Honors,17.6,High Honors,18.71,High Honors,High Honors,Honors,High Honors
2145,5400,1885,SU,300,1B5,Milford Regional Medical Center,H,3,High Honors,3.85,Pass,69,Honors,74,Honors,High Honors,Pass,Honors
2146,5401,1885,ME,300B,3A5,Milford Regional Medical Center,HH,3.51,High Honors,3.51,High Honors,3.8,Honors,3,High Honors,High Honors,High Honors,Honors
2147,5401,1885,NU,302,3B3,UMMHC-University Campus,H,85.85,Honors,3.38,Honors,81,Honors,84,Honors,Honors,Honors,Honors
2148,4900,1124,PS,300,S1A,UMMHC-Psychiatric Treatment and Recovery Center (PTRC),H,NA,NA,NA,Honors,87,High Honors,90,Honors,NA,Honors,High Honors
2149,4900,1124,FC,300,S1B,Worcester Area North,H,NA,Honors,35.28,NA,14.5,High Honors,13.46,Honors,Honors,NA,High Honors
2150,4900,1124,PE,300,S1C,UMMHC-University Campus,H,NA,Honors,3.1,NA,81,Honors,88,Honors,Honors,NA,Honors
2151,4900,1124,OB,300,S2B,Saint Vincent Hospital Massachusetts,H,NA,Honors,37,Honors,11,Honors,20,Honors,Honors,Honors,Honors
2152,4900,1124,SU,300,S2C,UMMHC-University & Memorial Campuses,H,NA,High Honors,3.97,Honors,75,High Honors,81,Honors,High Honors,Honors,High Honors
2153,4901,1124,NU,302,3A3,Cape Cod Hospital,H,NA,Honors,3.22,Honors,80,Honors,16,Honors,Honors,Honors,Honors
2154,5000,1403,PS,300,S1A,Berkshire Medical Center,H,NA,NA,NA,Pass,76,Pass,78,Honors,NA,Pass,Pass
2155,5000,1403,FC,300,S1B,Worcester Area South,H,NA,Honors,37.34,NA,13.41,Pass,11.69,Honors,Honors,NA,Pass
2156,5000,1403,PE,300,S1C,UMMHC-University Campus,P,NA,Pass,2.61,NA,65,Pass,84,Pass,Pass,NA,Pass
2157,5000,1403,OB,300,S2C,Cape Cod Hospital,H,NA,Honors,37,Pass,7,Honors,21,Honors,Honors,Pass,Honors
2158,5000,1403,SU,300,2B5,UMMHC-University ACS,H,NA,High Honors,3.64,Pass,75,Pass,74,Honors,High Honors,Pass,Pass
2159,5001,1403,NU,302,3A3,UMMHC-University Campus,HH,NA,High Honors,3.8,Honors,84,Honors,17,High Honors,High Honors,Honors,Honors
2160,5001,1403,ME,300B,3C5,UMMHC-Memorial Campus,S,NA,High Honors,3.62,High Honors,4,Pass,2,Satisfactory,High Honors,High Honors,Pass
2161,5100,1433,PE,300,S1A,"Baystate Medical Center - Springfield, MA",H,NA,Honors,3.03,NA,83,Honors,86,Honors,Honors,NA,Honors
2162,5100,1433,FC,300,S1B,"Baystate Medical Center - Springfield, MA",H,NA,Honors,37.33,NA,13.92,Honors,17.34,Honors,Honors,NA,Honors
2163,5100,1433,PS,300,S1C,"Baystate Medical Center - Springfield, MA",HH,NA,High Honors,90,Honors,90,Honors,84,High Honors,High Honors,Honors,Honors
2164,5100,1433,OB,300,S2A,"Baystate Medical Center - Springfield, MA",H,NA,Honors,36,Honors,11,High Honors,23,Honors,Honors,Honors,High Honors
2165,5100,1433,SU,300,S2B,"Baystate Medical Center - Springfield, MA",H,NA,High Honors,3.83,Honors,80,Honors,74,Honors,High Honors,Honors,Honors
2166,5101,1433,NU,302,S3B,"Baystate Medical Center - Springfield, MA",HH,NA,High Honors,3.56,High Honors,89,Honors,16,High Honors,High Honors,High Honors,Honors
2167,5101,1433,ME,300B,S3C,"Baystate Medical Center - Springfield, MA",HH,NA,High Honors,3.65,High Honors,3.7,Honors,3,High Honors,High Honors,High Honors,Honors
2168,5001,1045,PE,300,S3A,UMMHC-University Campus,H,NA,Honors,3.39,NA,81,Honors,86,Honors,Honors,NA,Honors
2169,5001,1045,OB,300,S3B,UMMHC-Memorial Campus,H,NA,Honors,34,Honors,11,Honors,22,Honors,Honors,Honors,Honors
2170,5000,1045,SU,300,1B5,UMMHC-University ACS,H,NA,High Honors,3.69,High Honors,82,Pass,78,Honors,High Honors,High Honors,Pass
2171,5000,1045,NU,302,2B3,UMMHC-University Campus,H,NA,High Honors,3.7,Honors,84,Pass,10,Honors,High Honors,Honors,Pass
2172,5000,1045,ME,300B,2C5,UMMHC-Marlborough Hospital,HH,NA,High Honors,3.52,High Honors,3.6,High Honors,3.5,High Honors,High Honors,High Honors,High Honors
2173,5100,1546,OB,300,S1B,UMMHC-Memorial Campus,HH,NA,High Honors,42,Honors,11,Honors,21,High Honors,High Honors,Honors,Honors
2174,5100,1546,SU,300,S1C,Milford Regional Medical Center,H,NA,Honors,3.39,Pass,72,Honors,72,Honors,Honors,Pass,Honors
2175,5100,1546,ME,300B,S2B,Saint Vincent Hospital Massachusetts,H,NA,High Honors,3.68,Honors,3,Honors,3,Honors,High Honors,Honors,Honors
2176,5100,1546,NU,302,S2C,Saint Vincent Hospital Massachusetts,H,NA,Honors,3.33,Honors,84,Pass,13,Honors,Honors,Honors,Pass
2177,5101,1546,FC,300,S3A,Worcester Area South,H,NA,Honors,36.88,NA,12.9,Honors,17.81,Honors,Honors,NA,Honors
2178,5101,1546,PE,300,S3B,UMMHC-University Campus,H,NA,Honors,3.34,NA,79,Honors,87,Honors,Honors,NA,Honors
2179,5101,1546,PS,300,S3C,Cape Cod Hospital,H,NA,High Honors,91,Honors,81,Pass,74,Honors,High Honors,Honors,Pass
2180,5200,1556,PE,300,S1A,UMMHC-University Campus,HH,NA,High Honors,3.51,Honors,88,Honors,89,High Honors,High Honors,Honors,Honors
2181,5200,1556,PS,300,S1B,Berkshire Medical Center,H,NA,Honors,84,Honors,86,Honors,86,Honors,Honors,Honors,Honors
2182,5200,1556,FC,300,S1C,Worcester Area North,HH,NA,High Honors,44.98,Honors,17.76,High Honors,19.06,High Honors,High Honors,Honors,High Honors
2183,5201,1556,OB,300,S3A,UMMHC-Memorial Campus,HH,NA,High Honors,44,Honors,11,Honors,22,High Honors,High Honors,Honors,Honors
2184,5200,1556,ME,300B,2A5,UMMHC-Memorial Campus,HH,NA,High Honors,3.6,High Honors,3.6,High Honors,4,High Honors,High Honors,High Honors,High Honors
2185,5200,1556,NU,302,2C3,Saint Vincent Hospital Massachusetts,HH,NA,Honors,3.08,High Honors,90,High Honors,20,High Honors,Honors,High Honors,High Honors
2186,5201,1556,SU,300,3C5,UMMHC-University ACS,HH,NA,High Honors,3.69,Honors,79,Honors,74,High Honors,High Honors,Honors,Honors
2187,4900,1112,FC,300,S2A,Worcester Area South,HH,NA,High Honors,38.88,NA,14.4,Honors,12.94,High Honors,High Honors,NA,Honors
2188,4900,1112,PS,300,S2B,Cape Cod Hospital,HH,NA,NA,NA,High Honors,94,High Honors,95,High Honors,NA,High Honors,High Honors
2189,4900,1112,PE,300,S2C,UMMHC-University Campus,HH,NA,High Honors,3.61,NA,90,High Honors,94,High Honors,High Honors,NA,High Honors
2190,4901,1112,SU,300,S3B,Milford Regional Medical Center,HH,NA,High Honors,3.83,High Honors,86,High Honors,82,High Honors,High Honors,High Honors,High Honors
2191,4901,1112,OB,300,S3C,Berkshire Medical Center,HH,NA,High Honors,44,High Honors,15,Honors,22,High Honors,High Honors,High Honors,Honors
2192,4900,1112,NU,302,1C3,Saint Vincent Hospital Massachusetts,HH,NA,High Honors,4,High Honors,90,High Honors,20,High Honors,High Honors,High Honors,High Honors
2193,5400,1932,OB,300,S1A,Cape Cod Hospital,H,86,High Honors,41,Honors,11,Honors,21,Honors,High Honors,Honors,Honors
2194,5400,1932,PE,300,S2A,UMMHC-University Campus,HH,3.55,High Honors,3.78,High Honors,85,Pass,83,High Honors,High Honors,High Honors,Pass
2195,5400,1932,PS,300,S2B,Cape Cod Hospital,HH,95,High Honors,99,High Honors,92,High Honors,91,High Honors,High Honors,High Honors,High Honors
2196,5400,1932,FC,300,S2C,Worcester Area South,HH,96.56,High Honors,43.75,High Honors,19.4,High Honors,18.71,High Honors,High Honors,High Honors,High Honors
2197,5400,1932,SU,300,1B5,Cape Cod Hospital,H,3.4,High Honors,3.85,High Honors,82,Pass,67,Honors,High Honors,High Honors,Pass
